bundle,category,prefabName,source_location,match_method,confidence
geoxplorer-archeology/cromeleque-bundle,archeology,Cromeleque,geoxplorer-source (GeoXAssetBundles),exact,firm
geoxplorer-archeology/m11m12kite-bundle,archeology,m11m12kite,LOST (no source found),none,
geoxplorer-archeology/petroglyph1-bundle,archeology,Petroglyph1,LOST (no source found),none,
geoxplorer-archeology/skarabrae-bundle,archeology,SkaraBrae,geoxplorer-source (GeoXAssetBundles),exact,firm
geoxplorer-archeology/tela-bundle,archeology,TelA,LOST (no source found),none,
geoxplorer-archeology/w80final-bundle,archeology,W80Final,LOST (no source found),none,
geoxplorer-architecture/saocucufate-bundle,architecture,SaoCucufate,geoxplorer-source (GeoXAssetBundles),exact,firm
geoxplorer-arthistory/balustervase-bundle,arthistory,baluster_vase-150k-4096,geoxplorer-source (GeoXAssetBundles),exact,firm
geoxplorer-arthistory/bottleshapedvase-bundle,arthistory,bottle-shaped-vase-f1982-150k,geoxplorer-source (GeoXAssetBundles),exact,firm
geoxplorer-arthistory/cloisonnevase-bundle,arthistory,CloisonneVase,geoxplorer-source (GeoXAssetBundles),exact,firm
geoxplorer-arthistory/cosmicbuddha-bundle,arthistory,cosmic-buddha-laser-scan-150k,geoxplorer-source (GeoXAssetBundles),exact,firm
geoxplorer-arthistory/elephantzun-bundle,arthistory,elephant_zun-150k-4096,geoxplorer-source (GeoXAssetBundles),exact,firm
geoxplorer-arthistory/f1980191-bundle,arthistory,f1980_191-150k,geoxplorer-source (GeoXAssetBundles),exact,firm
geoxplorer-arthistory/f1980193-bundle,arthistory,f1980_193-150k,geoxplorer-source (GeoXAssetBundles),exact,firm
geoxplorer-arthistory/f1980194-bundle,arthistory,f1980_194-150k,geoxplorer-source (GeoXAssetBundles),exact,firm
geoxplorer-arthistory/fangyi-bundle,arthistory,Fangyi,geoxplorer-source (GeoXAssetBundles),exact,firm
geoxplorer-arthistory/incenseburner-bundle,arthistory,incense-burner-f1978-150k,geoxplorer-source (GeoXAssetBundles),exact,firm
geoxplorer-arthistory/incensemountain-bundle,arthistory,incense-burner-in-the-form-of-a-mountain-(boshanlu)-150k,geoxplorer-source (GeoXAssetBundles),exact,firm
geoxplorer-arthistory/liddedewer-bundle,arthistory,LiddedEwer,geoxplorer-source (GeoXAssetBundles),exact,firm
geoxplorer-arthistory/vasef1991-bundle,arthistory,vase-f1991-150k,geoxplorer-source (GeoXAssetBundles),exact,firm
geoxplorer-arthistory/vasef1992-bundle,arthistory,vase-f1992-150k,geoxplorer-source (GeoXAssetBundles),exact,firm
geoxplorer-bio/1aus-bundle,bio,1aus,NAS: Fossett Lab Demo,exact,firm
geoxplorer-bio/1g5p-bundle,bio,1g5p,LOST (no source found),none,
geoxplorer-bio/1g8f-bundle,bio,1g8f,LOST (no source found),none,
geoxplorer-bio/1h3b-bundle,bio,1h3b,LOST (no source found),none,
geoxplorer-bio/1hbn-bundle,bio,1hbn.v5,LOST (no source found),none,
geoxplorer-bio/1mhy-bundle,bio,1mhy,LOST (no source found),none,
geoxplorer-bio/1mms-bundle,bio,1mms,LOST (no source found),none,
geoxplorer-bio/1mo7-bundle,bio,1mo7,LOST (no source found),none,
geoxplorer-bio/1q8j-bundle,bio,1q8j,LOST (no source found),none,
geoxplorer-bio/1w6k-bundle,bio,1w6k,LOST (no source found),none,
geoxplorer-bio/2adq-bundle,bio,2adq,LOST (no source found),none,
